region,category,parameter,mode,powertrain,year,value,Population,EVs_per_1000,EVs_per_1000_avg
Austria,Historical,EV sales,Cars,BEV,2013,650.0,8479823.0,0.07665254333728429,0.1562836408311771
Austria,Historical,EV sales,Cars,BEV,2014,1700.0,8546356.0,0.19891518677668005,0.36489226917943135
Austria,Historical,EV sales,Cars,PHEV,2015,1100.0,8642699.0,0.12727505609069575,0.3165819061690226
Austria,Historical,EV sales,Cars,BEV,2015,1700.0,8642699.0,0.19669781395834796,0.37807083314645
Austria,Historical,EV sales,Cars,BEV,2016,3800.0,8736668.0,0.4349484265626209,0.3415663881667642
Austria,Historical,EV sales,Cars,PHEV,2016,1200.0,8736668.0,0.13735213470398555,0.491424894019581
Austria,Historical,EV sales,Cars,PHEV,2017,1700.0,8797566.0,0.1932352652995158,0.7605880463748121
Austria,Historical,EV sales,Cars,BEV,2017,5400.0,8797566.0,0.6138061368337561,0.5149247295194739
Austria,Historical,EV sales,Cars,BEV,2018,6800.0,8840521.0,0.7691854360167234,0.7073110836271514
Austria,Historical,EV sales,Cars,PHEV,2018,2300.0,8840521.0,0.26016566218212706,0.9123394655418124
Austria,Historical,EV sales,Cars,PHEV,2019,2200.0,8879920.0,0.24774997972954713,0.7712182683485058
Austria,Historical,EV sales,Cars,BEV,2019,9300.0,8879920.0,1.0473067324930856,1.070118781932639
Austria,Historical,EV sales,Cars,BEV,2020,16000.0,8916864.0,1.7943528128274693,1.810606502628918
Austria,Historical,EV sales,Cars,PHEV,2020,7600.0,8916864.0,0.8523175860930479,1.560693153891556
Austria,Historical,EV sales,Cars,PHEV,2021,15000.0,8955797.0,1.6748928096516702,2.5922284438470347
Austria,Historical,EV sales,Cars,BEV,2021,33000.0,8955797.0,3.6847641812336747,2.8892353825839754
Austria,Historical,EV sales,Cars,BEV,2022,34000.0,9041851.0,3.760292002157523,3.9485613113031417
Austria,Historical,EV sales,Cars,PHEV,2022,13000.0,9041851.0,1.4377587067072881,2.2931019906788035
Austria,Historical,EV sales,Cars,PHEV,2023,17000.0,9131761.0,1.8616343550822234,2.2940602072628704
Austria,Historical,EV sales,Cars,BEV,2023,48000.0,9131761.0,5.256379355526278,5.196684427823783
Belgium,Historical,EV sales,Cars,PHEV,2010,8.0,10895586.0,0.0007342422885744742,0.0005890331326082384
Belgium,Historical,EV sales,Cars,BEV,2010,48.0,10895586.0,0.004405453731446845,0.008915171437984424
Belgium,Historical,EV sales,Cars,BEV,2011,280.0,11038264.0,0.025366307600542985,0.052489205869858994
Belgium,Historical,EV sales,Cars,PHEV,2011,16.0,11038264.0,0.001449503291459599,0.001369630286872877
